Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Returns
20-05-2016,701.05,707.24,700,702.8,2916165,0,1,701.05,707.24,700,702.8,2916165,-0.008608423
23-05-2016,704.25,706,696.42,696.75,2595082,0,1,704.25,706,696.42,696.75,2595082,0.010692501
24-05-2016,698.01,707.5,698,704.2,3033782,0,1,698.01,707.5,698,704.2,3033782,0.005893212
25-05-2016,708,710.86,705.5159,708.35,3276631,0,1,708,710.86,705.5159,708.35,3276631,0.009260959
26-05-2016,708.33,715,707.293,714.91,2446681,0,1,708.33,715,707.293,714.91,2446681,-0.003734736
27-05-2016,715,716.6,711.1,712.24,2249164,0,1,715,716.6,711.1,712.24,2249164,0.014812423
31-05-2016,712.33,724.23,711.32,722.79,3618323,0,1,712.33,724.23,711.32,722.79,3618323,-0.004634818
01-06-2016,720.9,726.43,718.22,719.44,3263107,0,1,720.9,726.43,718.22,719.44,3263107,0.012231736
02-06-2016,720.97,728.28,715.5001,728.24,3026583,0,1,720.97,728.28,715.5001,728.24,3026583,-0.003707569
03-06-2016,726.74,727,718.43,725.54,3367306,0,1,726.74,727,718.43,725.54,3367306,0.001640158
06-06-2016,726.5,731.5,724.42,726.73,2704806,0,1,726.5,731.5,724.42,726.73,2704806,-0.00411432
07-06-2016,729.89,730,720.55,723.74,2732463,0,1,729.89,730,720.55,723.74,2732463,0.004006964
08-06-2016,726.4,729.42,721.6,726.64,2223366,0,1,726.4,729.42,721.6,726.64,2223366,0.001389959
09-06-2016,723.1,728.91,722.3,727.65,2170318,0,1,723.1,728.91,722.3,727.65,2170318,-0.013385556
10-06-2016,722.35,724.98,714.21,717.91,3425718,0,1,722.35,724.98,714.21,717.91,3425718,-0.003719129
13-06-2016,714.01,721.99,711.16,715.24,3352201,0,1,714.01,721.99,711.16,715.24,3352201,0.005676416
14-06-2016,712.33,720.805,712.27,719.3,2506922,0,1,712.33,720.805,712.27,719.3,2506922,-0.007006812
15-06-2016,722,722.56,713.3522,714.26,2709447,0,1,722,722.56,713.3522,714.26,2709447,0.004550164
16-06-2016,712.05,718,705.3,717.51,3097961,0,1,712.05,718,705.3,717.51,3097961,-0.015498042
17-06-2016,718.19,718.2,699.18,706.39,5897788,0,1,718.19,718.2,699.18,706.39,5897788,0.010787242
20-06-2016,713.5,721.31,710.81,714.01,3677162,0,1,713.5,721.31,710.81,714.01,3677162,0.002534979
21-06-2016,715.72,718.4,712.721,715.82,2137534,0,1,715.72,718.4,712.721,715.82,2137534,-0.007292336
22-06-2016,716.58,717,707.565,710.6,2260454,0,1,716.58,717,707.565,710.6,2260454,0.016155362
23-06-2016,715.5,722.12,712.5,722.08,2824974,0,1,715.5,722.12,712.5,722.08,2824974,-0.032018613
24-06-2016,693,712.5292,692.2,698.96,7632511,0,1,693,712.5292,692.2,698.96,7632511,-0.010873297
27-06-2016,692.01,696.8189,682.115,691.36,5584037,0,1,692.01,696.8189,682.115,691.36,5584037,0.023996181
28-06-2016,700,708,698.1714,707.95,4036957,0,1,700,708,698.1714,707.95,4036957,0.010805848
29-06-2016,715.75,719.5,713.54,715.6,3070052,0,1,715.75,719.5,713.54,715.6,3070052,2.79E-05
30-06-2016,717.2,719.37,712.54,715.62,2855142,0,1,717.2,719.37,712.54,715.62,2855142,0.01405774
01-07-2016,717.32,728,716.54,725.68,2920423,0,1,717.32,728,716.54,725.68,2920423,0.003334803
05-07-2016,722.8,728.11,719.61,728.1,2431431,0,1,722.8,728.11,719.61,728.1,2431431,0.013061393
06-07-2016,725.71,737.77,722.58,737.61,3938249,0,1,725.71,737.77,722.58,737.61,3938249,-0.001409959
07-07-2016,739.33,739.55,731.63,736.57,2945783,0,1,739.33,739.55,731.63,736.57,2945783,0.012544633
08-07-2016,740.14,746.1,738,745.81,3429217,0,1,740.14,746.1,738,745.81,3429217,0.010686368
11-07-2016,750,755.9,747,753.78,3195272,0,1,750,755.9,747,753.78,3195272,-0.007389424
12-07-2016,756.86,757.34,740.33,748.21,5623657,0,1,756.86,757.34,740.33,748.21,5623657,-0.007457799
13-07-2016,746.76,756.87,741.25,742.63,4142265,0,1,746.76,756.87,741.25,742.63,4142265,-0.001925589
14-07-2016,748.86,749.04,739.02,741.2,2390472,0,1,748.86,749.04,739.02,741.2,2390472,-0.007771182
15-07-2016,746.55,746.55,734.05,735.44,3121385,0,1,746.55,746.55,734.05,735.44,3121385,0.00085663
18-07-2016,735.49,741.5954,728.72,736.07,2954914,0,1,735.49,741.5954,728.72,736.07,2954914,0.005271238
19-07-2016,732.5,743.33,732.31,739.95,2216820,0,1,732.5,743.33,732.31,739.95,2216820,0.007797824
20-07-2016,744,746.25,740.7,745.72,2214023,0,1,744,746.25,740.7,745.72,2214023,-0.001729872
21-07-2016,747.5,749.36,742.7918,744.43,2317072,0,1,747.5,749.36,742.7918,744.43,2317072,0.000577623
22-07-2016,747.79,751.28,743.53,744.86,2277711,0,1,747.79,751.28,743.53,744.86,2277711,-0.007048304
25-07-2016,746.55,748.5,735.35,739.61,2679290,0,1,746.55,748.5,735.35,739.61,2679290,-0.005435297
26-07-2016,742.71,743.13,732.7525,735.59,2529692,0,1,742.71,743.13,732.7525,735.59,2529692,0.001468209
27-07-2016,737.97,740.94,733.86,736.67,2913134,0,1,737.97,740.94,733.86,736.67,2913134,0.021637911
28-07-2016,745.98,753.36,739.7,752.61,7617580,0,1,745.98,753.36,739.7,752.61,7617580,0.008237998
29-07-2016,765,766,755,758.81,6777050,0,1,765,766,755,758.81,6777050,0.011768427
01-08-2016,759.87,770.5,757.06,767.74,3578205,0,1,759.87,770.5,757.06,767.74,3578205,-0.009326074
02-08-2016,763.81,765.01,757.02,760.58,3603280,0,1,763.81,765.01,757.02,760.58,3603280,-0.007809829
03-08-2016,757.06,758.89,752.25,754.64,3581525,0,1,757.06,758.89,752.25,754.64,3581525,0.008123079
04-08-2016,753.7,765,750.35,760.77,3178208,0,1,753.7,765,750.35,760.77,3178208,0.006848325
